[DEBUG-VA-CONT] Continuous Simulation (V_READ_TH=0.6 기준)
Smooth Params: V_read=0.1, Hyst=0.1
LOG t=3.200000e-08 V=+0.350000 dV=+0.050000 | gate_W=0.0067 | r_ref=+15.7128 W_targ=1.0000 W_next=1.0000 | R=1.750559e+02 I_raw=2.651672e-03 I_lpf=2.466330e-03 | alpha=+0.5373 logHr=+9.1494 logLr=+8.1728
LOG t=3.300000e-08 V=+0.400000 dV=+0.050000 | gate_W=0.0180 | r_ref=+4.1944 W_targ=1.0000 W_next=1.0000 | R=2.762893e+02 I_raw=2.245126e-03 I_lpf=2.355728e-03 | alpha=+0.5097 logHr=+8.9710 logLr=+8.2033
LOG t=3.400000e-08 V=+0.450000 dV=+0.050000 | gate_W=0.0474 | r_ref=-7.5820 W_targ=0.0000 W_next=0.9526 | R=4.879426e+02 I_raw=1.555987e-03 I_lpf=1.955858e-03 | alpha=+0.4815 logHr=+8.6693 logLr=+8.2252
LOG t=3.500000e-08 V=+0.500000 dV=+0.050000 | gate_W=0.1192 | r_ref=-19.5282 W_targ=0.0000 W_next=0.8808 | R=8.788258e+02 I_raw=9.183838e-04 I_lpf=1.437121e-03 | alpha=+0.4529 logHr=+8.2264 logLr=+8.2403
LOG t=3.600000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=2.055619e+03 I_raw=5.066654e-04 I_lpf=9.718930e-04 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=3.700000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=3.092135e+03 I_raw=2.197851e-04 I_lpf=5.958391e-04 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=3.800000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=4.005095e+03 I_raw=1.479692e-04 I_lpf=3.719041e-04 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=3.900000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=4.809228e+03 I_raw=1.155034e-04 I_lpf=2.437038e-04 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=4.000000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=5.517505e+03 I_raw=9.711746e-05 I_lpf=1.704106e-04 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
LOG t=4.100000e-08 V=+0.500000 dV=+0.000000 | gate_W=0.1192 | r_ref=+166.3803 W_targ=1.0000 W_next=1.0000 | R=6.141354e+03 I_raw=8.536222e-05 I_lpf=1.278864e-04 | alpha=+0.8980 logHr=+9.3903 logLr=-5.8216
