[DEBUG-VA-CONT] Hybrid Logic (V_FILTER=0.01, V_READ_TH=0.6)
VALID t=1.200000e-07 V=-1.250000 | gate_W=1.0000 | r_ref=+189.6013 | R=1.179738e+04 I=-1.0596e-04
VALID t=1.210000e-07 V=-1.300000 | gate_W=1.0000 | r_ref=+190.4368 | R=1.182256e+04 I=-1.0996e-04
VALID t=1.220000e-07 V=-1.350000 | gate_W=1.0000 | r_ref=+191.2092 | R=1.184583e+04 I=-1.1396e-04
VALID t=1.230000e-07 V=-1.400000 | gate_W=1.0000 | r_ref=+191.9242 | R=1.186737e+04 I=-1.1797e-04
VALID t=1.240000e-07 V=-1.450000 | gate_W=1.0000 | r_ref=+192.5860 | R=1.188730e+04 I=-1.2198e-04
VALID t=1.250000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+193.1993 | R=1.190576e+04 I=-1.2599e-04
VALID t=1.260000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.270000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.280000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.290000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.300000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.310000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.320000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.330000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.340000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.350000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.360000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.370000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.380000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.390000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.400000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.410000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.420000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.430000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.440000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.450000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.460000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.470000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.480000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.490000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.500000e-07 V=-1.500000 | gate_W=1.0000 | r_ref=+208.9646 | R=1.235709e+04 I=-1.2139e-04
VALID t=1.510000e-07 V=-1.450000 | gate_W=1.0000 | r_ref=+191.8439 | R=1.186678e+04 I=-1.2219e-04
VALID t=1.520000e-07 V=-1.400000 | gate_W=1.0000 | r_ref=+191.1164 | R=1.184491e+04 I=-1.1819e-04
VALID t=1.530000e-07 V=-1.350000 | gate_W=1.0000 | r_ref=+190.3185 | R=1.182093e+04 I=-1.1420e-04
VALID t=1.540000e-07 V=-1.300000 | gate_W=1.0000 | r_ref=+189.4412 | R=1.179454e+04 I=-1.1022e-04
